ID,country,subregion,region,date_of_first_stamp,date_of_first_historical_stamp,topic,theme,url,scott_catalogue_number,stanley_gibbons_catalogue_number,image_source,image_name,image_permalink
46,Cuba ,Latin  America  and  the Caribbean,Americas,1855,1914,The 100th Anniversary of the Birth of Gertrudis Gomez de Avellaneda - Poetess,Creatives (Poets),https://www.stampworld.com/stamps/Cuba/Postage-stamps/g0039//,257,335,https://www.cubacollectibles.com/mm5/graphics/00000001/8/1914-sc263-5c.jpg,46-cuba.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/46-cuba.jpeg
47,Cyprus ,Western Asia,Asia,1880,1928,Discovery of the body of  St. Barnabas,Faith ,https://www.stampworld.com/stamps/Cyprus-(Greek)/Postage-stamps/g0108//,117,126,https://i.ebayimg.com/images/g/PqQAAOSwUqdoWvuW/s-l1600.webp,47-cyprus.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/47-cyprus.jpeg
48,Czechia,Eastern Europe,Europe,1993,1993,600th Anniversary of the Death of St. John of Nepomuk,Leaders (Religious),https://www.stampworld.com/stamps/Czech-Republic/Postage-stamps/g0004//,2880,4,https://i.ebayimg.com/images/g/4sQAAOSwqdllAclR/s-l1600.webp,48-czechia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/48-czechia.jpeg
49,Czechoslovakia,Eastern Europe,Europe,1918,1920,Hussite Priest,Faith,https://www.stampworld.com/stamps/Czechoslovakia/Postage-stamps/g0184//,"74, 75","203, 204",https://cdn.collectorbazar.com/products/czechoslovakia-1920-scott-75-75-hussite-priest-holding-a-chalice-mh-698847-1.jpg,49-czechoslovakia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/49-czechoslovakia.jpeg
50,Denmark,Northern Europe,Europe,1851,1924,300th Anniversary of Danish Postal Service,Philately,https://www.stampworld.com/stamps/Denmark/Postage-stamps/g0133//,164-175,218-223,https://i.ebayimg.com/images/g/q4IAAOSwfttn3WCI/s-l500.jpg,50-denmark.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/50-denmark.jpeg
51,Djibouti,Eastern Africa,Africa,1977,1986,The 5th Anniversary of Inauguration of Djibouti Sheraton Hotel,Infrastructure (Building),https://www.stampworld.com/stamps/Djibouti/Postage-stamps/g0321//,623,991,https://i.ebayimg.com/images/g/I5YAAOSwG~9lLhO0/s-l1600.webp,51-djibouti.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/51-djibouti.jpeg
52,Dominica,Latin  America  and  the Caribbean,Americas,1874,1967,National Day - Santa Maria (Columbus),Philately,https://www.stampworld.com/stamps/Dominica/Postage-stamps/g0201//,203,206,https://i.ebayimg.com/images/g/7VcAAOSwpK1kymE3/s-l1600.webp,52-dominica.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/52-dominica.jpeg
53,Dominican Republic,Latin  America  and  the Caribbean,Americas,1865,1899,Colombus Mausoleum,Discovery (Columbus),https://www.stampworld.com/en/stamps/Dominican-Republic/Postage%20stamps/1890-1899?year=1899&user=281383,100-108,89-99,https://i.ebayimg.com/images/g/bHYAAeSwLm9ooQJg/s-l1600.webp,53-dominicanrepublic.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/53-dominicanrepublic.jpeg
54,Ecuador,Latin  America  and  the Caribbean,Americas,1865,1904,"The 100th Anniversary of the Birth of Abdón Calderón, 1804-1822",Leaders (Political),https://www.stampworld.com/stamps/Ecuador/Postage-stamps/g0155//,160-165,310-315,https://i.ebayimg.com/images/g/J1oAAOSwMJlnjCdY/s-l1600.webp,54-ecuador.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/54-ecuador.jpeg
55,Egypt,Northern Africa,Africa,1866,1926,Ship of Hatshepsut,Infrastructure (Transport),https://www.stampworld.com/stamps/Egypt/Postage-stamps/g0118//,118-120,138-140,https://i.ebayimg.com/images/g/IG0AAOSwnoFlBlXJ/s-l1600.webp,55-egypt.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/55-egypt.jpeg
56,El Salvador,Central America,Americas,1867,1892,Landing of Columbus ,Discovery (Columbus),https://www.stampworld.com/stamps/El-Salvador/Postage-stamps/g0057//,86-88,52-61,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Salvador_1892_Sc74.jpg/500px-Salvador_1892_Sc74.jpg,56-elsalvador.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/56-elsalvador.jpeg
57,Equatorial Guinea,Middle Africa,Africa,1968,1971,The 3rd Anniversary of Independence,Independence (Liberation),https://www.stampworld.com/stamps/Equatorial-Guinea/Postage-stamps/g0015//,2026-11-14 00:00:00,2026-11-14 00:00:00,https://i.ebayimg.com/images/g/prIAAOSwQWZnaA-6/s-l1600.webp,57-equatorialguinea.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/57-equatorialguinea.jpeg
58,Eritrea,Eastern Africa,Africa,1991,1991,The 30th Anniversary of Liberation Struggle,Independence (National Symbols),https://www.stampworld.com/stamps/Eritrea/Postage-stamps/g0001//,192-196,250-252,https://i.colnect.net/b/19229/717/EPLF-Fighter-Waving-Flag.jpg,58-eritrea.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/58-eritrea.jpeg
59,Estonia,Northern Europe,Europe,1918,1932,300th Anniversary of Tartu University,Culture (Education),https://www.stampworld.com/stamps/Estonia/Postage-stamps/g0129//,108-111,95-98,https://i.ebayimg.com/images/g/BSAAAOSwmoVnRKJ6/s-l1600.webp,59-estonia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/59-estonia.jpeg
60,Eswatini ,Southern Africa,Africa,1968,1971,The 50th Anniversary of Accession of King Sobhuza II,Leaders (Royalty),https://www.stampworld.com/stamps/Swaziland/Postage-stamps/g0187//,000-000,835-838,https://golowesstamps.com/reference/formatprinters/Swaziland/swaziland_1971_king_sobhuza.jpg,60-eswatini.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/60-eswatini.jpeg
61,Ethiopia,Eastern Africa,Africa,1894,1943,The 100th Anniversary of the Birth of Emperor Menelik II,Leaders (Royalty),https://www.stampworld.com/stamps/Ethiopia/Postage-stamps/g0278//,263-267,339-343,https://i.ebayimg.com/images/g/yK8AAOSwD39aX2Z9/s-l1600.webp,61-ethiopia.jpeg,https://raw.githubusercontent.com/ChantalMB/PHITT-data/refs/heads/main/stamp-images/61-ethiopia.jpeg
